--_BeginData_
NTU|The Chip|108,773.2|109,373.2|0.55
SIM|Investodium|100,546.43|101,096.43|0.55
SMU|Take Profit|99,034.03|99,572.25|0.54
NTU|Pips' Miner|101,603.08|102,153.08|0.54
SIM|STCM|99,035.47|99,571.23|0.54
SIM|Just Like This|78,384.04|78,803.76|0.54
NTU|Suagu|106,936.11|107,499.02|0.53
NP|Resolution|76,842.87|77,242.87|0.52
NTU|Yellow|110,795.19|111,368.34|0.52
NTU|Rojak|99,079.64|99,589.12|0.51
NUS|Et Cetera|107,437.34|107,988.13|0.51
TP|Daebak!|110,138.12|110,693.36|0.5
NUS|Dragon Team|79,835.83|80,235.83|0.5
NTU|PPG|98,013.16|98,474.32|0.47
NTU|engineers|101,122.59|101,595.77|0.47
NUS|A Team|97,489.82|97,944.06|0.47
RP|Lotus|91,224.67|91,649.67|0.47
NUS|DongKeys|100,546|101,009.2|0.46
NTU|Mosaic|77,168.85|77,499.54|0.43
SIM|The Febulous Effect|94,241.29|94,643.49|0.43
NTU|stockhunter|78,275.67|78,602.15|0.42
NUS|FVAJ|109,469.08|109,919.08|0.41
NTU|Mad Men|99,821.19|100,231.19|0.41
SMU|The Hammer|110,519.59|110,969.59|0.41
NUS|CJ|109,961.09|110,405.8|0.4
NUS|Categorical|100,000|100,385.5|0.39
SP|Financialist|109,581.15|109,996.15|0.38
SMU|MBS|100,455.83|100,830.27|0.37
NTU|AC/BS fighters|100,932.93|101,307.93|0.37
NP|Defonce|110,052.37|110,459.78|0.37
TP|Team Spade|110,454.66|110,849.46|0.36
NUS|MasterMind|99,559.71|99,899.71|0.34
NTU|LukitoShonata|88,780.06|89,064.63|0.32
NP|Unknown Quantity|78,233.11|78,483.11|0.32
NUS|super-supernova|79,041.14|79,289.04|0.31
SMU|SMUSKTEERS|98,496.7|98,798.09|0.31
NP|Juicy|99,865.91|100,167.78|0.3
NUS|Pinnacle Traders|94,256.72|94,540.61|0.3
NTU|Sure Win ii|111,006.29|111,339.52|0.3
NUS|Blue Horseshoe|99,197.74|99,493.7|0.3
NTU|WAMY|114,615.26|114,943.6|0.29
NTU|Huat Kings|100,000|100,284.57|0.28
NUS|HuatZaiYah|109,481.35|109,786.35|0.28
NTU|HL Milk|109,716.11|110,016.68|0.27
TP|Trio Traders|88,436.18|88,660.9|0.25
SMU|Team SMU-traders|98,953.1|99,203.1|0.25
NUS|Challenge|99,445.45|99,691.77|0.25
SMU|Above All|101,525.17|101,776.63|0.25
NTU|iWin|79,774.4|79,968.48|0.24
RP|Magnate|87,109.36|87,318.28|0.24
SMU|DZY|99,641.16|99,871.16|0.23
NP|Huat Ah|100,501.07|100,728.31|0.23
NTU|Market Ranger|76,928.2|77,102|0.23
NTU|KD35|79,631.11|79,808.69|0.22
SMU|SMURTs|99,673.24|99,886.48|0.21
OU|High-Rollers|81,042.84|81,211.83|0.21
NP|Anoymous|106,184.84|106,404.93|0.21
NTU|Victorious Secret|98,819.66|99,019.66|0.2
NTU|The Risk Factor|99,129.19|99,329.19|0.2
NUS|Team Bogor|79,866.42|80,026.42|0.2
NTU|Partial Fractions|81,835.18|81,995.18|0.2
RP|AnyHoWack|111,299.25|111,506.26|0.19
NUS|Read ALL The Charts|99,946.46|100,126.22|0.18
NTU|The ONE and ONLY|99,973.24|100,142.84|0.17
SMU|Technical turtle|100,373.24|100,539.62|0.17
NUS|NewbieTrader|79,801.82|79,931.06|0.16
TP|Justarandomgroup|77,984.19|78,108.84|0.16
NTU|Novitas|79,899.7|80,024.7|0.16
NTU|jj|96,417.53|96,567.53|0.16
NTU|LoliGo|111,615.51|111,788.71|0.16
SP|Triple N|89,672.66|89,805.88|0.15
TP|INVEST|79,581.46|79,690.6|0.14
NUS|The A Team|109,973.22|110,123.22|0.14
